ticker,date,sec_accession_number,source_url
TSLA,2019-01-30,0001564590-19-001399,https://www.sec.gov/Archives/edgar/data/1318605/000156459019001399/tsla-8k_20190130.htm
TSLA,2019-04-24,0001564590-19-012758,https://www.sec.gov/Archives/edgar/data/1318605/000156459019012758/tsla-8k_20190424.htm
TSLA,2019-07-24,0001564590-19-025855,https://www.sec.gov/Archives/edgar/data/1318605/000156459019025855/tsla-8k_20190724.htm
TSLA,2019-10-23,0001564590-19-037581,https://www.sec.gov/Archives/edgar/data/1318605/000156459019037581/tsla-8k_20191023.htm
TSLA,2020-01-29,0001564590-20-002489,https://www.sec.gov/Archives/edgar/data/1318605/000156459020002489/tsla-8k_20200129.htm
TSLA,2020-04-29,0001564590-20-019776,https://www.sec.gov/Archives/edgar/data/1318605/000156459020019776/tsla-8k_20200429.htm
TSLA,2020-07-22,0001564590-20-033069,https://www.sec.gov/Archives/edgar/data/1318605/000156459020033069/tsla-8k_20200722.htm
TSLA,2020-10-21,0001564590-20-047108,https://www.sec.gov/Archives/edgar/data/1318605/000156459020047108/tsla-8k_20201021.htm
TSLA,2021-01-27,0001564590-21-002645,https://www.sec.gov/Archives/edgar/data/1318605/000156459021002645/tsla-8k_20210127.htm
TSLA,2021-04-26,0001564590-21-020558,https://www.sec.gov/Archives/edgar/data/1318605/000156459021020558/tsla-8k_20210426.htm
TSLA,2021-07-26,0001564590-21-037953,https://www.sec.gov/Archives/edgar/data/1318605/000156459021037953/tsla-8k_20210726.htm
TSLA,2021-10-20,0001564590-21-051307,https://www.sec.gov/Archives/edgar/data/1318605/000156459021051307/tsla-8k_20211020.htm
TSLA,2022-01-26,0001564590-22-002476,https://www.sec.gov/Archives/edgar/data/1318605/000156459022002476/tsla-8k_20220126.htm
TSLA,2022-04-20,0001564590-22-014917,https://www.sec.gov/Archives/edgar/data/1318605/000156459022014917/tsla-8k_20220420.htm
TSLA,2022-07-20,0001564590-22-026048,https://www.sec.gov/Archives/edgar/data/1318605/000156459022026048/tsla-8k_20220720.htm
TSLA,2022-10-19,0001564590-22-034639,https://www.sec.gov/Archives/edgar/data/1318605/000156459022034639/tsla-8k_20221019.htm
TSLA,2023-01-25,0001564590-23-000799,https://www.sec.gov/Archives/edgar/data/1318605/000156459023000799/tsla-8k_20230120.htm
TSLA,2023-04-19,0001564590-23-005959,https://www.sec.gov/Archives/edgar/data/1318605/000156459023005959/tsla-8k_20230419.htm
TSLA,2023-07-19,0000950170-23-033544,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033544/tsla-20230719.htm
TSLA,2023-10-18,0001628280-23-034588,https://www.sec.gov/Archives/edgar/data/1318605/000162828023034588/tsla-20231018.htm
TSLA,2024-01-24,0000950170-24-007073,https://www.sec.gov/Archives/edgar/data/1318605/000095017024007073/tsla-20240124.htm
TSLA,2024-04-23,0000950170-24-046895,https://www.sec.gov/Archives/edgar/data/1318605/000095017024046895/tsla-20240423.htm
TSLA,2024-07-23,0001628280-24-032603,https://www.sec.gov/Archives/edgar/data/1318605/000162828024032603/tsla-20240723.htm
TSLA,2024-10-23,0001628280-24-043432,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043432/tsla-20241023.htm
TSLA,2025-01-29,0001628280-25-002993,https://www.sec.gov/Archives/edgar/data/1318605/000162828025002993/tsla-20250129.htm
TSLA,2025-04-22,0001628280-25-018851,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018851/tsla-20250422.htm
TSLA,2025-07-23,0001628280-25-035738,https://www.sec.gov/Archives/edgar/data/1318605/000162828025035738/tsla-20250723.htm
TSLA,2025-10-22,0001628280-25-045861,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045861/tsla-20251022.htm
TSLA,2026-01-28,0001628280-26-003837,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003837/tsla-20260128.htm
TSLA,2026-04-22,0001628280-26-026551,https://www.sec.gov/Archives/edgar/data/1318605/000162828026026551/tsla-20260422.htm
TSLA,2026-07-22,0001628280-26-049213,https://www.sec.gov/Archives/edgar/data/1318605/000162828026049213/tsla-20260722.htm
